country,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence
Afghanistan,1803.987,597.029,9.59
Albania,11803.431,304.195,10.08
Algeria,13913.839,278.364,6.73
Angola,5819.495,276.045,3.94
Antigua and Barbuda,21490.943,191.511,13.17
Argentina,18933.907,191.032,5.5
Armenia,8787.58,341.01,7.11
Australia,44648.71,107.791,5.07
Austria,45436.686,145.183,6.35
Azerbaijan,15847.419,559.812,7.11
Bahamas,27717.847,235.954,13.17
Bahrain,43290.705,151.689,16.52
Bangladesh,3523.984,298.003,8.38
Barbados,16978.068,170.05,13.57
Belarus,17167.967,443.129,5.18
Belgium,42658.576,114.898,4.29
Belize,7824.362,176.957,17.11
Benin,2064.236,235.848,0.99
Bermuda,50669.315,139.547,13
Bhutan,8708.597,217.066,9.75
Bolivia,6885.829,204.299,6.89
Bosnia and Herzegovina,11713.895,329.635,10.08
Botswana,15807.374,237.372,4.81
Brazil,14103.452,177.961,8.11
Brunei,71809.251,201.285,12.79
Bulgaria,18563.307,424.688,5.81
Burkina Faso,1703.102,269.048,2.42
Burundi,702.225,293.068,6.05
Cambodia,3645.07,270.892,4
Cameroon,3364.926,244.661,7.2
Canada,44017.591,105.599,7.37
Cape Verde,6222.554,182.219,2.42
Central African Republic,661.24,435.727,6.1
Chad,1768.153,280.995,6.1
Chile,22767.037,127.993,8.46
China,15308.712,261.899,9.74
Colombia,13254.949,124.24,7.44
Comoros,1413.89,261.516,11.88
Congo,4881.406,344.094,7.2
Costa Rica,15524.995,137.973,8.78
Cote d'Ivoire,3601.006,303.74,2.42
Croatia,22669.797,253.782,5.59
Cyprus,32415.132,141.171,9.24
Czechia,32605.906,227.485,6.82
Democratic Republic of Congo,808.133,318.949,6.1
Denmark,46682.515,114.767,6.41
Djibouti,2705.406,258.037,6.05
Dominica,9673.367,227.376,11.62
Dominican Republic,14600.861,266.653,8.2
Ecuador,10581.936,140.448,5.55
Egypt,10550.206,525.432,17.31
El Salvador,7292.458,167.295,8.87
Equatorial Guinea,22604.873,202.812,7.78
Eritrea,1510.459,311.11,6.05
Estonia,29481.252,255.569,4.02
Eswatini,7738.975,333.436,3.94
Ethiopia,1729.927,182.634,7.47
Fiji,8702.975,412.82,14.49
Finland,40585.721,153.507,5.76
France,38605.671,86.06,4.77
Gabon,16562.413,259.967,7.2
Gambia,1561.767,331.43,1.91
Georgia,9745.079,496.218,7.11
Germany,45229.245,156.139,8.31
Ghana,4227.63,298.245,4.97
Greece,24574.382,175.695,4.55
Grenada,13593.877,243.964,10.71
Guatemala,7423.808,155.898,10.18
Guinea,1998.926,336.717,2.42
Guinea-Bissau,1548.675,382.474,2.42
Guyana,7435.047,373.159,11.62
Haiti,1653.173,430.548,6.65
Honduras,4541.795,240.208,7.21
Hungary,26777.561,278.296,7.55
Iceland,46482.958,117.992,5.31
India,6426.674,282.28,10.39
Indonesia,11188.744,342.864,6.32
Iran,19082.62,270.308,9.59
Iraq,15663.986,218.612,8.83
Ireland,67335.293,126.459,3.28
Israel,33132.32,93.32,6.74
Italy,35220.084,113.151,4.78
Jamaica,8193.571,206.537,11.28
Japan,39002.223,79.37,5.72
Jordan,8337.49,208.257,11.75
Kazakhstan,24055.588,466.792,7.11
Kenya,2993.028,218.637,2.92
Kiribati,1981.132,434.657,22.66
Kuwait,65530.537,132.235,15.84
Kyrgyzstan,3393.474,436.362,7.11
Laos,6397.36,368.111,4
Latvia,25063.846,350.06,4.91
Lebanon,13367.565,266.591,12.71
Lesotho,2851.153,405.126,3.94
Liberia,752.788,272.509,2.42
Libya,17881.509,341.862,10.43
Lithuania,29524.265,342.989,3.67
Luxembourg,94277.965,128.275,4.42
Madagascar,1416.44,405.994,3.94
Malawi,1095.042,227.349,3.94
Malaysia,26808.164,260.942,16.74
Maldives,15183.616,164.905,9.19
Mali,2014.306,268.024,2.42
Malta,36513.323,168.711,8.83
Marshall Islands,3819.202,557.793,30.53
Mauritania,3597.633,232.347,2.42
Mauritius,20292.745,224.644,22.02
Mexico,17336.469,152.783,13.06
Micronesia (country),3299.464,454.343,12.02
Moldova,5189.972,408.502,5.72
Mongolia,11840.846,460.043,4.82
Montenegro,16409.288,387.305,10.08
Morocco,7485.013,419.146,7.14
Mozambique,1136.103,329.942,3.3
Myanmar,5591.597,202.104,4.61
Namibia,9541.808,243.811,3.94
Nepal,2442.804,260.797,7.26
Netherlands,48472.545,109.361,5.29
New Zealand,36085.843,128.797,8.08
Nicaragua,5321.444,137.016,11.47
Niger,926,238.339,2.42
Nigeria,5338.454,181.013,2.42
North Macedonia,13111.214,322.688,10.08
Norway,64800.057,114.316,5.31
Oman,37960.709,266.342,12.61
Pakistan,5034.708,423.031,8.35
Palestine,4449.898,265.91,10.59
Panama,22267.037,128.346,8.33
Papua New Guinea,3823.194,561.494,17.65
Paraguay,8827.01,199.128,8.27
Peru,12236.706,85.755,5.95
Philippines,7599.188,370.437,7.07
Poland,27216.445,227.331,5.91
Portugal,27936.896,127.842,9.85
Puerto Rico,35044.67,108.094,12.9
Qatar,116935.6,176.69,16.52
Romania,23313.199,370.946,9.74
Russia,24765.954,431.297,6.18
Rwanda,1854.211,191.375,4.28
Saint Lucia,12951.839,204.62,11.62
Saint Vincent and the Grenadines,10727.146,252.675,11.62
Samoa,6021.557,348.977,9.21
Sao Tome and Principe,3052.714,270.113,2.42
Saudi Arabia,49045.411,259.538,17.72
Senegal,2470.58,241.219,2.42
Serbia,14048.881,439.415,10.08
Seychelles,26382.287,242.648,10.55
Sierra Leone,1390.3,325.721,2.42
Singapore,85535.383,92.243,10.99
Slovakia,30155.152,287.959,7.29
Slovenia,31400.84,153.493,7.25
Solomon Islands,2205.923,459.78,18.68
South Africa,12294.876,200.38,5.52
South Korea,35938.374,85.998,6.8
South Sudan,1569.888,280.775,10.43
Spain,34272.36,99.403,7.17
Sri Lanka,11669.077,197.093,10.68
Sudan,4466.507,431.388,15.67
Suriname,13767.119,258.314,12.54
Sweden,46949.283,133.982,4.79
Switzerland,57410.166,99.739,5.59
Tajikistan,2896.913,427.698,7.11
Tanzania,2683.304,217.288,5.75
Thailand,16277.671,109.861,7.04
Timor,6570.102,335.346,6.86
Togo,1429.813,280.033,6.15
Tonga,5425.621,227.49,15.42
Trinidad and Tobago,28763.071,228.467,10.97
Tunisia,10849.297,318.991,8.52
Turkey,25129.341,171.285,12.13
Turkmenistan,16389.023,536.783,7.11
Uganda,1697.707,213.333,2.5
Ukraine,7894.393,539.849,7.11
United Arab Emirates,67293.483,317.84,17.26
United Kingdom,39753.244,122.137,4.28
United States,54225.446,151.089,10.79
Uruguay,20551.409,160.708,6.93
Uzbekistan,6253.104,724.417,7.57
Vanuatu,2921.909,546.3,12.02
Venezuela,16745.022,204.85,6.47
Vietnam,6171.884,245.465,6
World,15469.207,233.07,8.51
Yemen,1479.147,495.003,5.35
Zambia,3689.251,234.499,3.94
Zimbabwe,1899.775,307.846,1.82
